29-06-2024,SHAYONA INC.(INDIA),111888.00
02-07-2024,MOREPEN LABORATORIES LIMITED,211008.00
03-07-2024,ASTRID HEALTHCARE LLP,16016.00
03-07-2024,BIO-TECH DISTRIBUTORS(P),5685.00
03-07-2024,HONEST SURGICAL & MEDICINES AGENCIES(PUR,756.00
03-07-2024,KAVYA DISTRIBUTORS,9716.00
06-07-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,38534.00
06-07-2024,PRANAV SURGICALS,4211.00
06-07-2024,PRANAV ENTERPRISE,4838.00
06-07-2024,MOREPEN LABORATORIES LIMITED,66770.00
06-07-2024,ZYKEM HEALTHCARE PVT LTD,337075.00
04-07-2024,PROMEA THERAPEUTICS PRIVATE LIMITED,1021895.00
09-07-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,73812.00
09-07-2024,MITANSH SURGICAL (P),1369.00
09-07-2024,UNITY DISTRIBUTORS,9072.00
10-07-2024,ASTRID HEALTHCARE LLP,80640.00
11-07-2024,PRANAV SURGICALS,7803.00
11-07-2024,TOUCH SAFE SURGICAL,1792.00
11-07-2024,REVIVE ENTERPRISE,8467.00
12-07-2024,PROMEA THERAPEUTICS PRIVATE LIMITED,631093.00
13-07-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,19613.00
13-07-2024,CURE LIFESCIENCES,81200.00
16-07-2024,REALCADE LIFESCIENCE PVT LTD,456691.00
17-07-2024,KAVYA DISTRIBUTORS,605.00
17-07-2024,CONSCIENCE MEDICO(P),3276.00
17-07-2024,PRANAV SURGICALS,16598.00
17-07-2024,PRANAV ENTERPRISE,9677.00
17-07-2024,REALCADE LIFESCIENCE PVT LTD,148109.00
18-07-2024,SHEFALI SURGICALS,2050.00
18-07-2024,MITANSH SURGICAL (P),281.00
18-07-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,58840.00
18-07-2024,MOREPEN LABORATORIES LIMITED,593546.00
18-07-2024,HADRIANA PRIVATE LIMITED,33488.00
19-07-2024,PRANAV SURGICALS,19106.00
19-07-2024,KAVYA DISTRIBUTORS,3920.00
19-07-2024,TOONBRANDS SOLTUIONS PVT LTD,165156.00
19-07-2024,TOONBRANDS SOLTUIONS PVT LTD,6542.00
19-07-2024,KAVYA DISTRIBUTORS,851.00
19-07-2024,MAA CHANDRA PHARMA(P),941.00
20-07-2024,KAVYA DISTRIBUTORS,6608.00
22-07-2024,MITANSH SURGICAL (P),1369.00
22-07-2024,ASTRID HEALTHCARE LLP,38707.00
22-07-2024,TECHNOCARE MEDISYSTEMS,16800.00
23-07-2024,FUSION DISTRIBUTORS(P),9166.00
23-07-2024,KAVYA DISTRIBUTORS,3920.00
23-07-2024,MITANSH SURGICAL (P),5037.00
24-07-2024,WEST INDIA LIFESCIENCE,5656.00
24-07-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,39200.00
25-07-2024,MAA CHANDRA PHARMA(P),538.00
25-07-2024,MAA CHANDRA PHARMA(P),3920.00
25-07-2024,KAVYA DISTRIBUTORS,28350.00
26-07-2024,ASTRID HEALTHCARE LLP,42011.00
26-07-2024,MITANSH SURGICAL (P),3422.00
26-07-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,99716.00
29-07-2024,SHEFALI SURGICALS,2050.00
29-07-2024,VASURA MEDICAL AGENCIES,4256.00
29-07-2024,WEST INDIA LIFESCIENCE,12544.00
29-07-2024,MOREPEN LABORATORIES LIMITED,90.00
29-07-2024,PRANAV ENTERPRISE,4838.00
29-07-2025,MOREPEN LABORATORIES LIMITED,403200.00
30-07-2024,FUSION DISTRIBUTORS(P),9166.00
30-07-2024,PRANAV SURGICALS,8172.00
30-07-2024,PRANAV ENTERPRISE,11592.00
30-07-2024,KAVYA DISTRIBUTORS,6608.00
30-07-2024,REVIVE ENTERPRISE,15671.00
30-07-2024,KAPOOR MEDICAL SOLUTION,22982.00
01-08-2024,KAVYA DISTRIBUTORS,7840.00
01-08-2024,STOE LIFE PRIVATE LIMITED,5012.00
01-08-2024,ASTRID HEALTHCARE LLP,19354.00
02-08-2024,BIO-TECH DISTRIBUTORS(P),5685.00
02-08-2024,ASTRID HEALTHCARE LLP,22579.00
02-08-2024,KESHAV DISTRIBUTOR,958.00
02-08-2024,ORANGE MEDICARE,10114.00
02-08-2024,MOREPEN LABORATORIES LIMITED,19600.00
03-08-2024,SWAMI ORTHO AIDS,75520.00
03-08-2024,KAVYA DISTRIBUTORS,605.00
03-08-2024,SWISS MEDICAL STORES(P),3097.00
05-08-2024,MITANSH SURGICAL (P),3353.00
05-08-2024,TOUCH SAFE SURGICAL,1234.00
05-08-2024,PRANAV SURGICALS,10151.00
05-08-2024,KRISHNA SURGICAL (VADODARA),3287.00
05-08-2024,MOREPEN LABORATORIES LIMITED,403200.00
05-08-2024,TVISHA SURGICAL(P MAHUVA),9865.00
06-08-2024,SOLLAR BIO LFE,77000.00
07-08-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,86977.00
07-08-2024,HI-TECH PHARMA,14650.00
07-08-2024,HADRIANA PRIVATE LIMITED,41860.00
07-08-2024,PRANAV ENTERPRISE,11446.00
07-08-2024,MOREPEN LABORATORIES LIMITED,19600.00
08-08-2024,PRANAV ENTERPRISE,22893.00
08-08-2024,PRANAV SURGICALS,28123.00
08-08-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,49428.00
09-08-2024,FUSION DISTRIBUTORS(P),9166.00
09-08-2024,STOE LIFE PRIVATE LIMITED,10024.00
09-08-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,9905.00
09-08-2024,ASTRID HEALTHCARE LLP,12902.00
10-08-2024,ASTRID HEALTHCARE LLP,42482.00
10-08-2024,PRANAV ENTERPRISE,1652.00
12-08-2024,TOONBRANDS SOLTUIONS PVT LTD,81200.00
12-08-2024,TOUCH SAFE SURGICAL,7875.00
12-08-2024,TOUCH SAFE SURGICAL,808.00
13-08-2024,MOREPEN LABORATORIES LIMITED,59360.00
13-08-2024,SHAYONA INC.(INDIA),14280.00
13-08-2024,PROMEA THERAPEUTICS PRIVATE LIMITED,301445.00
15-08-2024,ASTRID HEALTHCARE LLP,9677.00
15-08-2024,KAVYA DISTRIBUTORS,6608.00
15-08-2024,PRANAV SURGICALS,6469.00
16-08-2024,TOONBRANDS SOLTUIONS PVT LTD,162400.00
17-08-2024,TOONBRANDS SOLTUIONS PVT LTD,64960.00
17-08-2024,MOREPEN LABORATORIES LIMITED,59360.00
17-08-2024,MOREPEN LABORATORIES LIMITED,39200.00
20-08-2024,SHEFALI SURGICALS,4100.00
20-08-2024,MOREPEN LABORATORIES LIMITED,47152.00
17-08-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,50380.00
20-08-2024,MOREPEN LABORATORIES LIMITED,39200.00
20-08-2024,HADRIANA PRIVATE LIMITED,2464.00
